ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11782845,JC378846,08/04/2019 11:15:00 PM,016XX W MEDILL AVE,0810,THEFT,OVER $500,STREET,false,false,1811,018,32,7,06,1164875,1915643,2019,08/11/2019 04:09:37 PM,41.924133082,-87.669602789,"(41.924133082, -87.669602789)"
12140058,JD337503,08/18/2020 07:00:00 PM,005XX N SPRINGFIELD AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1122,011,37,23,14,1150295,1903249,2020,08/25/2020 03:53:43 PM,41.890419927,-87.723499644,"(41.890419927, -87.723499644)"
11844023,JC452409,09/28/2019 08:55:00 PM,018XX S ALLPORT ST,0460,BATTERY,SIMPLE,SIDEWALK,true,false,1233,012,25,31,08B,1168327,1891242,2019,10/05/2019 04:13:32 PM,41.857101024,-87.657624854,"(41.857101024, -87.657624854)"
11845565,JC454229,09/30/2019 01:05:00 PM,007XX W 111TH ST,0560,ASSAULT,SIMPLE,GAS STATION,false,false,2233,022,34,49,08A,1173202,1831248,2019,10/07/2019 04:12:43 PM,41.692363894,-87.64150249,"(41.692363894, -87.64150249)"
11487068,JB489329,10/24/2018 08:00:00 PM,038XX W MYRICK ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0833,008,18,70,08B,1151825,1852077,2018,10/31/2018 04:17:26 PM,41.74996701,-87.719223877,"(41.74996701, -87.719223877)"
11824017,JC428173,09/10/2019 11:00:00 AM,009XX W 15TH PL,0820,THEFT,$500 AND UNDER,OTHER,false,false,1232,012,11,28,06,1170340,1892669,2019,09/17/2019 04:20:17 PM,41.860973118,-87.650194377,"(41.860973118, -87.650194377)"
12175184,JD378191,09/24/2020 08:10:00 PM,009XX W 54TH ST,0460,BATTERY,SIMPLE,STREET,false,false,0934,009,20,61,08B,1171049,1868997,2020,10/01/2020 03:50:30 PM,41.795999418,-87.648284712,"(41.795999418, -87.648284712)"
12132996,JD329267,08/12/2020 03:00:00 AM,075XX S COTTAGE GROVE AVE,0460,BATTERY,SIMPLE,SIDEWALK,false,false,0624,006,8,69,08B,1182866,1855292,2020,08/19/2020 03:51:27 PM,41.758125035,-87.605376887,"(41.758125035, -87.605376887)"
11430542,JB414652,08/11/2018 07:00:00 PM,041XX W NORTH AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,COMMERCIAL / BUSINESS OFFICE,false,false,2534,025,30,23,14,1148322,1910308,2018,09/01/2018 04:07:12 PM,41.909828808,-87.730563349,"(41.909828808, -87.730563349)"
12158895,JD359318,08/08/2020 06:15:00 PM,052XX S INGLESIDE AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,false,false,0233,002,5,41,06,,,2020,09/08/2020 03:50:39 PM,,,
12171479,JD372943,09/19/2020 10:37:00 PM,046XX N ASHLAND AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,1912,019,47,3,14,1164822,1930874,2020,09/26/2020 03:49:12 PM,41.965928835,-87.669364014,"(41.965928835, -87.669364014)"
11476244,JB475151,10/14/2018 12:21:00 PM,057XX W 64TH PL,0460,BATTERY,SIMPLE,RESIDENCE,false,false,0812,008,13,64,08B,1139247,1861209,2018,10/21/2018 04:09:44 PM,41.775264034,-87.765094943,"(41.775264034, -87.765094943)"
11820595,JC424115,09/07/2019 07:30:00 PM,015XX N HAMLIN AVE,0810,THEFT,OVER $500,STREET,false,false,2535,025,26,23,06,1150756,1909997,2019,09/14/2019 04:06:17 PM,41.908928109,-87.721629922,"(41.908928109, -87.721629922)"
11439673,JB426480,09/07/2018 11:00:00 AM,050XX S WENTWORTH AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,HIGHWAY/EXPRESSWAY,false,true,0224,002,3,37,08B,1175808,1871714,2018,09/14/2018 03:58:39 PM,41.803349737,-87.630751827,"(41.803349737, -87.630751827)"
12159545,JD359216,09/07/2020 04:05:00 AM,089XX S HOUSTON AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0424,004,10,46,14,1198074,1846293,2020,09/14/2020 03:57:00 PM,41.733064465,-87.549942459,"(41.733064465, -87.549942459)"
12152761,JD352257,08/31/2020 10:57:00 PM,080XX S EXCHANGE AVE,5111,OTHER OFFENSE,GUN OFFENDER - ANNUAL REGISTRATION,STREET,true,false,0422,004,7,46,26,1197222,1852411,2020,09/07/2020 03:55:04 PM,41.749873967,-87.552860394,"(41.749873967, -87.552860394)"
11439083,JB425828,08/23/2018 08:22:00 AM,062XX S TRIPP AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,0813,008,13,65,05,1149111,1862883,2018,09/12/2018 04:00:35 PM,41.779673217,-87.728891033,"(41.779673217, -87.728891033)"
12156097,JD356061,09/04/2020 10:55:00 AM,014XX W 72ND PL,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,RESIDENCE,true,false,0734,007,17,67,15,1167968,1856669,2020,09/11/2020 03:48:23 PM,41.762236675,-87.659936931,"(41.762236675, -87.659936931)"
12144855,JD343014,08/24/2020 01:42:00 AM,021XX N MULLIGAN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,true,false,2512,025,36,19,08B,1133730,1913643,2020,08/31/2020 03:55:28 PM,41.919249338,-87.784090688,"(41.919249338, -87.784090688)"
11467696,JB463647,10/05/2018 01:30:00 PM,001XX W ONTARIO ST,0460,BATTERY,SIMPLE,RESTAURANT,false,false,1832,018,42,8,08B,1175327,1904462,2018,10/12/2018 03:54:37 PM,41.893223483,-87.63153437,"(41.893223483, -87.63153437)"
11780407,JC375920,08/02/2019 07:20:00 PM,007XX E 103RD ST,3731,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,STREET,true,false,0512,005,9,50,24,1182951,1836828,2019,08/09/2019 04:18:38 PM,41.707455731,-87.605637491,"(41.707455731, -87.605637491)"
11451255,JB442245,09/19/2018 04:00:00 PM,061XX S ARCHER AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,false,false,0811,008,23,56,06,1136764,1867992,2018,09/26/2018 04:18:54 PM,41.793922473,-87.774035764,"(41.793922473, -87.774035764)"
11788918,JC384337,08/08/2019 03:10:00 PM,086XX S ABERDEEN ST,0820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),false,false,0613,006,21,71,06,1170498,1847411,2019,08/15/2019 04:12:43 PM,41.736776765,-87.650933262,"(41.736776765, -87.650933262)"
