ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11863195,JC475547,10/16/2019 09:45:00 PM,074XX S JEFFERY BLVD,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,true,false,0333,003,5,43,15,1190831,1855998,2019,10/23/2019 04:17:05 PM,41.759873699,-87.576163642,"(41.759873699, -87.576163642)"
11862428,JC474586,10/16/2019 09:40:00 AM,001XX N BELL AVE,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,true,false,1223,012,27,28,03,1161405,1901075,2019,11/01/2019 04:00:05 PM,41.884230364,-87.682758922,"(41.884230364, -87.682758922)"
11863071,JC475366,10/16/2019 05:20:00 PM,056XX S ASHLAND AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,OTHER,false,false,0713,007,16,67,04A,1166633,1867374,2019,10/23/2019 04:17:05 PM,41.79164114,-87.66452475,"(41.79164114, -87.66452475)"
11862745,JC474964,10/16/2019 02:58:00 PM,059XX S ASHLAND AVE,031A,ROBBERY,ARMED: HANDGUN,STREET,false,false,0714,007,16,67,03,1166688,1865364,2019,10/23/2019 04:17:05 PM,41.78612428,-87.664380421,"(41.78612428, -87.664380421)"
11862130,JC474312,10/16/2019 12:34:00 AM,023XX S WASHTENAW AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,true,false,1034,010,12,30,15,1158727,1888526,2019,10/23/2019 04:17:05 PM,41.84984994,-87.69293663,"(41.84984994, -87.69293663)"
11862189,JC474363,10/16/2019 04:15:00 AM,009XX E 61ST ST,033A,ROBBERY,ATTEMPT: ARMED-HANDGUN,SIDEWALK,false,false,0313,003,20,42,03,1183213,1864755,2019,10/23/2019 04:17:05 PM,41.784084344,-87.603811008,"(41.784084344, -87.603811008)"
11863118,JC475325,10/16/2019 06:42:00 PM,037XX S WOOD ST,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,false,false,0912,009,12,59,04B,1164962,1880006,2019,10/23/2019 04:17:05 PM,41.82634032,-87.670294651,"(41.82634032, -87.670294651)"
11862825,JC475088,10/16/2019 02:14:00 PM,081XX S GREEN ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,RESIDENCE,true,false,0613,006,21,71,15,1172056,1850820,2019,10/23/2019 04:17:05 PM,41.746097476,-87.645125368,"(41.746097476, -87.645125368)"
11863262,JC475569,10/16/2019 09:55:00 PM,044XX S WHIPPLE ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,true,false,0922,009,15,58,15,1156775,1875013,2019,11/23/2019 03:48:23 PM,41.81280835,-87.700466155,"(41.81280835, -87.700466155)"
11862798,JC475220,10/16/2019 03:00:00 AM,055XX W WASHINGTON BLVD,051A,ASSAULT,AGGRAVATED: HANDGUN,APARTMENT,false,true,1522,015,29,25,04A,1139302,1900198,2019,10/23/2019 04:17:05 PM,41.882254892,-87.763946003,"(41.882254892, -87.763946003)"
